Metadata,https://docs.google.com/spreadsheets/d/1rXLToBVuQirLsVXvpm9LoYWxXfN_QMOuDisMHe_slZQ/edit?gid=1166627944#gid=1166627944,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Coach Name,,,,,,,,,,,,,,,,,,,,,,,,
,Turbo Blazer$,Arboursole,,,,,,,,,,,,,,,,,,,,,,,,
,The Silver Knights,Holy Macaroni,,,,,,,,,,,,,,,,,,,,,,,,
,The Skibidi Rotoms,Swaguora,,,,,,,,,,,,,,,,,,,,,,,,
,Marketable Plushies,Materia5408,,,,,,,,,,,,,,,,,,,,,,,,
,GPT Gooners,Penxil,,,,,,,,,,,,,,,,,,,,,,,,
,Rampaging Rufflets,rssp1,,,,,,,,,,,,,,,,,,,,,,,,
,The BROKEN MOTORS,blerg,,,,,,,,,,,,,,,,,,,,,,,,
,The Third Placers,eragon,,,,,,,,,,,,,,,,,,,,,,,,
,Lunar Fight Club,PokemonDept,,,,,,,,,,,,,,,,,,,,,,,,
,"Goons, Goons, Goons",brokenmotor,,,,,,,,,,,,,,,,,,,,,,,,
,Mommy Medichams,Joseph,,,,,,,,,,,,,,,,,,,,,,,,
,The Washington Football Team,insideoutside,,,,,,,,,,,,,,,,,,,,,,,,
,i love daddy dolphn uwu,Smoke,,,,,,,,,,,,,,,,,,,,,,,,
,REGIMAN SUM,Dolphn,,,,,,,,,,,,,,,,,,,,,,,,
,Red Star Reshiram,Tezzy,,,,,,,,,,,,,,,,,,,,,,,,
,Certified Unc Status,SonnyDayz,,,,,,,,,,,,,,,,,,,,,,,,
,BRICK  BY BRICK,Tiger78,,,,,,,,,,,,,,,,,,,,,,,,
,The Gholdenbros,Squigs,,,,,,,,,,,,,,,,,,,,,,,,
,The Stupids,Le Chonk,,,,,,,,,,,,,,,,,,,,,,,,
,Green Bay Greedents,Etay,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,2,insideoutside,W,2,vs.,2,L,Dolphn,4,W,2,,,,,,,,,,,,,
,3,3,5,Tezzy,W,5,vs.,5,L,SonnyDayz,6,W,5,,,,,,,,,,,,,
,3,4,7,Tiger78,W,2,vs.,2,L,Etay,10,W,2,,,,,,,,,,,,,
,3,5,8,Squigs,W,5,vs.,5,L,Le Chonk,9,W,5,,,,,,,,,,,,,
,4,1,1,Joseph,W,6,vs.,6,L,Dolphn,4,W,6,,,,,,,,,,,,,
,4,2,3,Smoke,W,1,vs.,1,L,Tezzy,5,W,1,,,,,,,,,,,,,
,4,3,2,insideoutside,W,1,vs.,1,L,Etay,10,W,1,,,,,,,,,,,,,
,4,4,6,SonnyDayz,W,3,vs.,3,L,Le Chonk,9,W,3,,,,,,,,,,,,,
,4,5,7,Tiger78,L,3,vs.,3,W,Squigs,8,L,-3,,,,,,,,,,,,,
,5,1,1,Joseph,L,3,vs.,3,W,Tezzy,5,L,-3,,,,,,,,,,,,,
,5,2,4,Dolphn,W,2,vs.,2,L,Etay,10,W,2,,,,,,,,,,,,,
,5,3,3,Smoke,W,3,vs.,3,L,Le Chonk,9,W,3,,,,,,,,,,,,,
,5,4,2,insideoutside,L,2,vs.,2,W,Squigs,8,L,-2,,,,,,,,,,,,,
,5,5,6,SonnyDayz,L,3,vs.,3,W,Tiger78,7,L,-3,,,,,,,,,,,,,
,6,1,1,Joseph,W,3,vs.,3,L,Etay,10,W,3,,,,,,,,,,,,,
,6,2,5,Tezzy,L,5,vs.,5,W,Le Chonk,9,L,-5,,,,,,,,,,,,,
,6,3,4,Dolphn,DF,3,vs.,3,W,Squigs,8,L,-3,,,,,,,,,,,,,
,6,4,3,Smoke,L,5,vs.,5,W,Tiger78,7,L,-5,,,,,,,,,,,,,
,6,5,2,insideoutside,W,3,vs.,3,L,SonnyDayz,6,W,3,,,,,,,,,,,,,
,7,1,1,Joseph,W,4,vs.,4,L,Le Chonk,9,W,4,,,,,,,,,,,,,
,7,2,8,Squigs,W,3,vs.,3,DF,Etay,10,W,3,,,,,,,,,,,,,
,7,3,5,Tezzy,L,5,vs.,5,W,Tiger78,7,L,-5,,,,,,,,,,,,,
,7,4,4,Dolphn,W,4,vs.,4,L,SonnyDayz,6,W,4,,,,,,,,,,,,,
,7,5,2,insideoutside,W,2,vs.,2,L,Smoke,3,W,2,,,,,,,,,,,,,
,8,1,1,Joseph,W,3,vs.,3,L,Squigs,8,W,3,,,,,,,,,,,,,
,8,2,7,Tiger78,W,3,vs.,3,L,Le Chonk,9,W,3,,,,,,,,,,,,,
,8,3,6,SonnyDayz,W,3,vs.,3,DF,Etay,10,W,3,,,,,,,,,,,,,
,8,4,2,insideoutside,L,6,vs.,6,W,Tezzy,5,L,-6,,,,,,,,,,,,,
,8,5,3,Smoke,DF,3,vs.,3,DF,Dolphn,4,L,-3,,,,,,,,,,,,,
,9,1,1,Joseph,W,4,vs.,4,L,Tiger78,7,W,4,,,,,,,,,,,,,
,9,2,6,SonnyDayz,L,2,vs.,2,W,Squigs,8,L,-2,,,,,,,,,,,,,
,9,3,2,insideoutside,W,4,vs.,4,L,Le Chonk,9,W,4,,,,,,,,,,,,,
,9,4,3,Smoke,DF,3,vs.,3,DF,Etay,10,L,-3,,,,,,,,,,,,,
,9,5,4,Dolphn,L,4,vs.,4,W,Tezzy,5,L,-4,,,,,,,,,,,,,
,1,1,6,SonnyDayz,L,5,vs.,5,W,Joseph,1,L,-5,,,,,,,,,,,,,
,1,2,7,Tiger78,L,5,vs.,5,W,insideoutside,2,L,-5,,,,,,,,,,,,,
,1,3,8,Squigs,W,1,vs.,1,L,Smoke,3,W,1,,,,,,,,,,,,,
,1,4,9,Le Chonk,L,4,vs.,4,W,Dolphn,4,L,-4,,,,,,,,,,,,,
,1,5,10,Etay,L,1,vs.,1,W,Tezzy,5,L,-1,,,,,,,,,,,,,
,2,1,2,insideoutside,W,4,vs.,4,L,Joseph,1,W,4,,,,,,,,,,,,,
,2,2,6,SonnyDayz,L,2,vs.,2,W,Smoke,3,L,-2,,,,,,,,,,,,,
,2,3,7,Tiger78,L,6,vs.,6,W,Dolphn,4,L,-6,,,,,,,,,,,,,
,2,4,8,Squigs,L,4,vs.,4,W,Tezzy,5,L,-4,,,,,,,,,,,,,
,2,5,10,Etay,W,5,vs.,5,L,Le Chonk,9,W,5,,,,,,,,,,,,,
,3,1,3,Smoke,L,5,vs.,5,W,Joseph,1,L,-5,,,,,,,,,,,,,
,3,2,4,Dolphn,L,2,vs.,2,W,insideoutside,2,L,-2,,,,,,,,,,,,,
,3,3,6,SonnyDayz,L,5,vs.,5,W,Tezzy,5,L,-5,,,,,,,,,,,,,
,3,4,10,Etay,L,2,vs.,2,W,Tiger78,7,L,-2,,,,,,,,,,,,,
,3,5,9,Le Chonk,L,5,vs.,5,W,Squigs,8,L,-5,,,,,,,,,,,,,
,4,1,4,Dolphn,L,6,vs.,6,W,Joseph,1,L,-6,,,,,,,,,,,,,
,4,2,5,Tezzy,L,1,vs.,1,W,Smoke,3,L,-1,,,,,,,,,,,,,
,4,3,10,Etay,L,1,vs.,1,W,insideoutside,2,L,-1,,,,,,,,,,,,,
,4,4,9,Le Chonk,L,3,vs.,3,W,SonnyDayz,6,L,-3,,,,,,,,,,,,,
,4,5,8,Squigs,W,3,vs.,3,L,Tiger78,7,W,3,,,,,,,,,,,,,
,5,1,5,Tezzy,W,3,vs.,3,L,Joseph,1,W,3,,,,,,,,,,,,,
,5,2,10,Etay,L,2,vs.,2,W,Dolphn,4,L,-2,,,,,,,,,,,,,
,5,3,9,Le Chonk,L,3,vs.,3,W,Smoke,3,L,-3,,,,,,,,,,,,,
,5,4,8,Squigs,W,2,vs.,2,L,insideoutside,2,W,2,,,,,,,,,,,,,
,5,5,7,Tiger78,W,3,vs.,3,L,SonnyDayz,6,W,3,,,,,,,,,,,,,
,6,1,10,Etay,L,3,vs.,3,W,Joseph,1,L,-3,,,,,,,,,,,,,
,6,2,9,Le Chonk,W,5,vs.,5,L,Tezzy,5,W,5,,,,,,,,,,,,,
,6,3,8,Squigs,W,3,vs.,3,DF,Dolphn,4,W,3,,,,,,,,,,,,,
,6,4,7,Tiger78,W,5,vs.,5,L,Smoke,3,W,5,,,,,,,,,,,,,
,6,5,6,SonnyDayz,L,3,vs.,3,W,insideoutside,2,L,-3,,,,,,,,,,,,,
,7,1,9,Le Chonk,L,4,vs.,4,W,Joseph,1,L,-4,,,,,,,,,,,,,
,7,2,10,Etay,DF,3,vs.,3,W,Squigs,8,L,-3,,,,,,,,,,,,,
,7,3,7,Tiger78,W,5,vs.,5,L,Tezzy,5,W,5,,,,,,,,,,,,,
,7,4,6,SonnyDayz,L,4,vs.,4,W,Dolphn,4,L,-4,,,,,,,,,,,,,
,7,5,3,Smoke,L,2,vs.,2,W,insideoutside,2,L,-2,,,,,,,,,,,,,
,8,1,8,Squigs,L,3,vs.,3,W,Joseph,1,L,-3,,,,,,,,,,,,,
,8,2,9,Le Chonk,L,3,vs.,3,W,Tiger78,7,L,-3,,,,,,,,,,,,,
,8,3,10,Etay,DF,3,vs.,3,W,SonnyDayz,6,L,-3,,,,,,,,,,,,,
,8,4,5,Tezzy,W,6,vs.,6,L,insideoutside,2,W,6,,,,,,,,,,,,,
,8,5,4,Dolphn,DF,3,vs.,3,DF,Smoke,3,L,-3,,,,,,,,,,,,,
,9,1,7,Tiger78,L,4,vs.,4,W,Joseph,1,L,-4,,,,,,,,,,,,,
,9,2,8,Squigs,W,2,vs.,2,L,SonnyDayz,6,W,2,,,,,,,,,,,,,
,9,3,9,Le Chonk,L,4,vs.,4,W,insideoutside,2,L,-4,,,,,,,,,,,,,
,9,4,10,Etay,DF,3,vs.,3,DF,Smoke,3,L,-3,,,,,,,,,,,,,
