Metadata,https://docs.google.com/spreadsheets/d/1LC1BVzHsjmwq2FEqtoJhslfPbsr1m0mBYsUb8gA_4mc/edit?gid=1166627944#gid=1166627944,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Coach Name,,,,,,,,,,,,,,,,,,,,,,,,
,Wings of Ruin,RayOfDarkness,,,,,,,,,,,,,,,,,,,,,,,,
,Arizona Swellows,jowdy,,,,,,,,,,,,,,,,,,,,,,,,
,The Golden Age,Tiger78,,,,,,,,,,,,,,,,,,,,,,,,
,Adapt or Drown,Arboursole,,,,,,,,,,,,,,,,,,,,,,,,
,cough agree guys?,Tezzy,,,,,,,,,,,,,,,,,,,,,,,,
,THE LEGENDARY LEVICNCIANS,Squigs,,,,,,,,,,,,,,,,,,,,,,,,
,Anistar Angels,Katie,,,,,,,,,,,,,,,,,,,,,,,,
,Sigma Grindset,Le Chonk,,,,,,,,,,,,,,,,,,,,,,,,
,Expanding Force,Matt,,,,,,,,,,,,,,,,,,,,,,,,
,Rampaging Rufflets,rssp1,,,,,,,,,,,,,,,,,,,,,,,,
,Alaka-ZAMMNN!!,Joseph,,,,,,,,,,,,,,,,,,,,,,,,
,Mass Times Velocity,brokenmotor,,,,,,,,,,,,,,,,,,,,,,,,
,Daddy Smurf,blerg,,,,,,,,,,,,,,,,,,,,,,,,
,Five Turns in Rain,Penxil,,,,,,,,,,,,,,,,,,,,,,,,
,Chesapeke Cloyster Catchers,insideoutside,,,,,,,,,,,,,,,,,,,,,,,,
,,David V,,,,,,,,,,,,,,,,,,,,,,,,
,Slow and Not Steady,NAMU,,,,,,,,,,,,,,,,,,,,,,,,
,Mendicant Bias,Anthony,,,,,,,,,,,,,,,,,,,,,,,,
,Derpy Dondozos,RobotX888,,,,,,,,,,,,,,,,,,,,,,,,
,Spectral Alloy,rsha256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,5,10,NAMU,L,2,vs.,2,W,brokenmotor,9,L,-2,,,,,,,,,,,,,
,3,1,3,Joseph,W,5,vs.,5,L,rsha256,1,W,5,,,,,,,,,,,,,
,3,2,4,blerg,W,5,vs.,5,L,insideoutside,2,W,5,,,,,,,,,,,,,
,3,3,6,David V,W,4,vs.,4,L,RobotX888,5,W,4,,,,,,,,,,,,,
,3,4,10,NAMU,DF,3,vs.,3,W,Penxil,7,L,-3,,,,,,,,,,,,,
,3,5,9,brokenmotor,W,5,vs.,0,L,Anthony,8,W,5,,,,,,,,,,,,,
,4,1,4,blerg,W,3,vs.,3,DF,rsha256,1,W,3,,,,,,,,,,,,,
,4,2,5,RobotX888,L,3,vs.,3,W,Joseph,3,L,-3,,,,,,,,,,,,,
,4,3,10,NAMU,W,3,vs.,3,DF,insideoutside,2,W,3,,,,,,,,,,,,,
,4,4,9,brokenmotor,W,3,vs.,3,L,David V,6,W,3,,,,,,,,,,,,,
,4,5,8,Anthony,L,4,vs.,4,W,Penxil,7,L,-4,,,,,,,,,,,,,
,5,1,5,RobotX888,W,3,vs.,3,DF,rsha256,1,W,3,,,,,,,,,,,,,
,5,2,10,NAMU,DF,3,vs.,3,W,blerg,4,L,-3,,,,,,,,,,,,,
,5,3,9,brokenmotor,L,2,vs.,2,W,Joseph,3,L,-2,,,,,,,,,,,,,
,5,4,8,Anthony,L,5,vs.,5,W,insideoutside,2,L,-5,,,,,,,,,,,,,
,5,5,7,Penxil,W,5,vs.,5,L,David V,6,W,5,,,,,,,,,,,,,
,6,1,10,NAMU,W,3,vs.,3,DF,rsha256,1,W,3,,,,,,,,,,,,,
,6,2,9,brokenmotor,W,5,vs.,5,L,RobotX888,5,W,5,,,,,,,,,,,,,
,6,3,8,Anthony,L,5,vs.,5,W,blerg,4,L,-5,,,,,,,,,,,,,
,6,4,7,Penxil,L,6,vs.,6,W,Joseph,3,L,-6,,,,,,,,,,,,,
,6,5,6,David V,L,3,vs.,3,W,insideoutside,2,L,-3,,,,,,,,,,,,,
,7,1,9,brokenmotor,W,3,vs.,3,DF,rsha256,1,W,3,,,,,,,,,,,,,
,7,2,10,NAMU,DF,3,vs.,3,W,Anthony,8,L,-3,,,,,,,,,,,,,
,7,3,7,Penxil,W,4,vs.,4,L,RobotX888,5,W,4,,,,,,,,,,,,,
,7,4,6,David V,L,2,vs.,2,W,blerg,4,L,-2,,,,,,,,,,,,,
,7,5,3,Joseph,W,3,vs.,3,DF,insideoutside,2,W,3,,,,,,,,,,,,,
,8,1,8,Anthony,W,3,vs.,3,DF,rsha256,1,W,3,,,,,,,,,,,,,
,8,2,9,brokenmotor,L,4,vs.,4,W,Penxil,7,L,-4,,,,,,,,,,,,,
,8,3,10,NAMU,L,3,vs.,3,W,David V,6,L,-3,,,,,,,,,,,,,
,8,4,5,RobotX888,W,3,vs.,3,DF,insideoutside,2,W,3,,,,,,,,,,,,,
,8,5,4,blerg,L,3,vs.,3,W,Joseph,3,L,-3,,,,,,,,,,,,,
,9,1,7,Penxil,W,6,vs.,6,DF,rsha256,1,W,6,,,,,,,,,,,,,
